Designator,Mid X,Mid Y,Rotation,Layer
C1,138.75,-142.11,0.0,top
C2,136.055,-142.02,180.0,top
D1,137.8,-144.8,90.0,top
D18,141.16,-143.0,90.0,top
D19,146.325,-124.6,0.0,top
D3,133.25,-145.05,90.0,top
D5,130.3,-143.8,0.0,top
D6,125.65,-124.975,180.0,top
IC1,136.005,-133.41,0.0,top
Q2,135.695,-121.095,180.0,top
R1,132.2475,-126.11,180.0,top
R2,138.6,-126.11,180.0,top
R3,139.05,-144.95,270.0,top
R4,134.5,-145.2,270.0,top
R5,132.6,-141.01,180.0,top
R6,138.85,-141.11,180.0,top
R7,135.95,-141.01,0.0,top
TP1,140.5,-125.0,0.0,top
TP2,137.5,-146.04,0.0,bottom
TP3,134.5,-146.0,0.0,bottom
TP4,127.4,-120.4,0.0,top
TP5,144.8,-120.4,0.0,top
